x, y, v
-1, -1, 0
-0.993333, -1, 0
-0.986667, -1, 0
-0.98, -1, 0
-0.973333, -1, 0
-0.966667, -1, 0
-0.96, -1, 0
-0.953333, -1, 0
-0.946667, -1, 0
-0.94, -1, 0
-0.933333, -1, 0
-0.926667, -1, 0
-0.92, -1, 0
-0.913333, -1, 0
-0.906667, -1, 0
-0.9, -1, 0
-0.893333, -1, 0
-0.886667, -1, 0
-0.88, -1, 0
-0.873333, -1, 0
-0.866667, -1, 0
-0.86, -1, 0
-0.853333, -1, 0
-0.846667, -1, 0
-0.84, -1, 0
-0.833333, -1, 0
-0.826667, -1, 0
-0.82, -1, 0
-0.813333, -1, 0
-0.806667, -1, 0
-0.8, -1, 0
-0.793333, -1, 0
-0.786667, -1, 0
-0.78, -1, 0
-0.773333, -1, 0
-0.766667, -1, 0
-0.76, -1, 0
-0.753333, -1, 0
-0.746667, -1, 0
-0.74, -1, 0
-0.733333, -1, 0
-0.726667, -1, 0
-0.72, -1, 0
-0.713333, -1, 0
-0.706667, -1, 0
-0.7, -1, 0
-0.693333, -1, 0
-0.686667, -1, 0
-0.68, -1, 0
-0.673333, -1, 0
-0.666667, -1, 0
-0.66, -1, 0
-0.653333, -1, 0
-0.646667, -1, 0
-0.64, -1, 0
-0.633333, -1, 0
-0.626667, -1, 0
-0.62, -1, 0
-0.613333, -1, 0
-0.606667, -1, 0
-0.6, -1, 0
-0.593333, -1, 0
-0.586667, -1, 0
-0.58, -1, 0
-0.573333, -1, 0
-0.566667, -1, 0
-0.56, -1, 0
-0.553333, -1, 0
-0.546667, -1, 0
-0.54, -1, 0
-0.533333, -1, 0
-0.526667, -1, 0
-0.52, -1, 0
-0.513333, -1, 0
-0.506667, -1, 0
-0.5, -1, 0
-0.493333, -1, 0
-0.486667, -1, 0
-0.48, -1, 0
-0.473333, -1, 0
-0.466667, -1, 0
-0.46, -1, 0
-0.453333, -1, 0
-0.446667, -1, 0
-0.44, -1, 0
-0.433333, -1, 0
-0.426667, -1, 0
-0.42, -1, 0
-0.413333, -1, 0
-0.406667, -1, 0
-0.4, -1, 0
-0.393333, -1, 0
-0.386667, -1, 0
-0.38, -1, 0
-0.373333, -1, 0
-0.366667, -1, 0
-0.36, -1, 0
-0.353333, -1, 0
-0.346667, -1, 0
-0.34, -1, 0
-0.333333, -1, 0
-0.326667, -1, 0
-0.32, -1, 0
-0.313333, -1, 0
-0.306667, -1, 0
-0.3, -1, 0
-0.293333, -1, 0
-0.286667, -1, 0
-0.28, -1, 0
-0.273333, -1, 0
-0.266667, -1, 0
-0.26, -1, 0
-0.253333, -1, 0
-0.246667, -1, 0
-0.24, -1, 0
-0.233333, -1, 0
-0.226667, -1, 0
-0.22, -1, 0
-0.213333, -1, 0
-0.206667, -1, 0
-0.2, -1, 0
-0.193333, -1, 0
-0.186667, -1, 0
-0.18, -1, 0
-0.173333, -1, 0
-0.166667, -1, 0
-0.16, -1, 0
-0.153333, -1, 0
-0.146667, -1, 0
-0.14, -1, 0
-0.133333, -1, 0
-0.126667, -1, 0
-0.12, -1, 0
-0.113333, -1, 0
-0.106667, -1, 0
-0.1, -1, 0
-0.0933333, -1, 0
-0.0866667, -1, 0
-0.08, -1, 0
-0.0733333, -1, 0
-0.0666667, -1, 0
-0.06, -1, 0
-0.0533333, -1, 0
-0.0466667, -1, 0
-0.04, -1, 0
-0.0333333, -1, 0
-0.0266667, -1, 0
-0.02, -1, 0
